Date,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation,country
2015-01-31,5.7,1.22855,4.6396158072525,1.1899791231733,-3.1395447337693,-2.3413393253528,-3.6475347505208,-5.2892779614807,30.538724806606,2.9734307041363,CAN
2014-07-31,5.64,1.07405,5.2511521809972,1.1762252346194,9.5130798956655,8.7833402269003,-8.1246944883441,-5.6714910169433,36.757376937389,16.207203330659,CAN
2014-01-31,5.54,1.1051,5.0131209845263,1.19805370337,8.4113386453693,6.1909643618091,-8.8530074150335,-3.6093702652327,61.211274909951,4.9279584792813,CAN
2013-07-31,5.53,1.05125,5.2604042806183,1.2136064374543,15.444131981382,13.224413263985,2.5275052088061,17.294448910063,57.808881628516,21.051172325273,CAN
2013-01-31,5.41,1.0029,5.394356366537,1.2387244496387,23.514253628344,21.154868009762,0.49216818449287,13.908482411113,47.254624418568,26.427343864513,CAN
2012-07-31,5.12,1.01945,5.0223159546814,1.1831311380705,16.055827953355,17.219036348207,5.5554360472738,9.2364562099427,18.856028827631,24.583750335658,CAN
2012-01-31,4.73,1.02095,4.6329399089084,1.1269364007605,10.381154881287,11.539703699998,-4.953073503835,9.1598724083259,7.6516733430663,11.937869579767,CAN
2011-07-31,4.73,0.94585,5.0007929375694,1.1635916359164,23.020736471572,24.443016730127,-8.7043562588581,14.467734312927,17.967626201259,20.440910865212,CAN
2010-07-31,4.17,1.04235,4.0005756223917,1.1169642857143,7.158275599778,,,,,,CAN
2010-01-31,4.12,1.0368,3.9737654320988,1.1508379888268,10.999034416167,,,,,,CAN
2009-07-31,3.89,1.16085,3.3509928069949,1.0896358543417,-6.13465526625,,,,,,CAN
2008-06-30,4.09,1.00355,4.0755318618903,1.1456582633053,14.16055635547,,,,,,CAN
2007-06-30,3.88,1.05345,3.683136361479,1.1378299120235,8.0098639729897,,,,,,CAN
2007-01-31,3.63,1.17485,3.0897561390816,1.1273291925466,-4.044840401193,,,,,,CAN
2006-05-31,3.52,1.12045,3.1415948949083,1.1354838709677,1.3417708034934,,,,,,CAN
2006-01-31,3.52,1.1704,3.0075187969925,1.1174603174603,-4.5232127938895,,,,,,CAN
2005-06-30,3.28,1.2494,2.6252601248599,1.0718954248366,-14.207185462094,,,,,,CAN
2004-05-31,3.19,1.37,2.33,1.1,-19.70802919708,,,,,,CAN
2003-04-30,3.2,1.45,2.17,1.1808118081181,-18.564702888408,,,,,,CAN
2002-04-30,3.33,1.57,2.12,1.3373493975904,-14.81850970762,,,,,,CAN
2001-04-30,3.33,1.56,2.14,1.3110236220472,-15.960024227741,,,,,,CAN
2000-04-30,2.85,1.47,1.94,1.1354581673307,-22.757947800634,,,,,,CAN
2017-07-31,19.2,7.8115,2.4579146130705,3.622641509434,-53.624252583576,-48.428649249167,-49.202524454358,-40.085149779674,-29.94741392416,-42.971516135906,HKG
2017-01-31,19.2,7.75595,2.4755187952475,3.7944664031621,-51.076703651235,-44.856297096513,-43.817112356261,-32.734555285287,-31.132287317953,-41.037762664768,HKG
2016-07-31,19.2,7.7554,2.4756943549011,3.8095238095238,-50.879080259899,-44.74711541609,-45.651298239815,-36.361214607116,-35.17071881236,-39.566515161797,HKG
2016-01-31,19.2,7.75235,2.4766683650764,3.894523326572,-49.763319166807,-42.769237597841,-38.086581444631,-38.091847912154,-23.521385816311,-36.803180140728,HKG
2015-07-31,19.2,7.7508,2.4771636476235,4.0083507306889,-48.28468376569,-41.511331724497,-38.80889491065,-42.280449403612,-19.637123555395,-35.500937928789,HKG
2015-01-31,18.8,7.75135,2.4253839653738,3.9248434237996,-49.365679219754,-41.960469270631,-42.736754435653,-43.712459046836,-22.41951428121,-38.801847635692,HKG
2014-07-31,18.8,7.75045,2.4256656065132,3.9207507820647,-49.412604660831,-41.849154710497,-50.887455141657,-49.576079197219,-26.89545060947,-37.880680182167,HKG
2014-01-31,18.0,7.75785,2.3202304762273,3.8925932600469,-49.82381381379,-41.947723654032,-50.171933803915,-47.305352125261,-11.869323935399,-42.638181330538,HKG
2013-07-31,17.0,7.75665,2.191667794731,3.730797366496,-51.901950371668,-44.891808165655,-50.098169975318,-42.910854600157,-23.191811101095,-41.082395271767,HKG
2013-01-31,17.0,7.7591,2.1909757574976,3.8924797862952,-49.83335971575,-42.57742199111,-52.370718059867,-46.011919912294,-30.207177831569,-40.078478605318,HKG
2012-07-31,16.5,7.75815,2.126795692272,3.8128249566724,-50.853941253102,-42.47120562752,-48.1954709368,-46.388898739857,-41.667801959721,-38.856749052928,HKG
2012-01-31,16.5,7.76735,2.1242766194391,3.931173491025,-49.38848524883,-40.280009703915,-49.110484072195,-41.554206218075,-42.361718077566,-40.06682586276,HKG
2011-07-31,15.1,7.7918,1.9379347519187,3.7146371463715,-52.326328366084,-42.711987308065,-57.971558912757,-47.304162270855,-45.692968198358,-44.554378288355,HKG
2010-07-31,14.8,7.7742,1.9037328599727,3.9642857142857,-49.007155536445,,,,,,HKG
2010-01-31,14.8,7.75655,1.9080647968491,4.1340782122905,-46.702100646673,,,,,,HKG
2009-07-31,13.3,7.7505,1.7160183213986,3.7254901960784,-51.932259904801,,,,,,HKG
2008-06-30,13.3,7.7974,1.7056967707184,3.7254901960784,-52.221378971472,,,,,,HKG
2007-06-30,12.0,7.81555,1.5354005796137,3.5190615835777,-54.973590040653,,,,,,HKG
2007-01-31,12.0,7.79845,1.5387673191468,3.7267080745342,-52.212195057554,,,,,,HKG
2006-05-31,12.0,7.7533,1.5477280641791,3.8709677419355,-50.073288252286,,,,,,HKG
2006-01-31,12.0,7.7512,1.5481473836309,3.8095238095238,-50.852464011717,,,,,,HKG
2005-06-30,12.0,7.7807,1.5422776870976,3.921568627451,-49.598768395505,,,,,,HKG
2004-05-31,12.0,7.79,1.54,4.1379310344828,-46.881501482891,,,,,,HKG
2003-04-30,11.5,7.8,1.47,4.2435424354244,-45.595609802252,,,,,,HKG
2002-04-30,11.2,8.0,1.4,4.4979919678715,-43.775100401606,,,,,,HKG
2001-04-30,10.7,7.8,1.37,4.2125984251969,-45.992327882092,,,,,,HKG
2000-04-30,10.2,7.79,1.31,4.0637450199203,-47.833825161485,,,,,,HKG
2017-07-31,862.0,268.6239,3.2089475284962,162.64150943396,-39.453820217054,-6.4091518685536,-7.813567997805,8.7324951964416,27.130293257505,3.4943645024635,HUN
2017-01-31,900.0,294.6172,3.0548114638249,177.86561264822,-39.628231940219,-4.7290952554465,-2.9337121892458,16.213446660112,18.981659726222,1.8681263846616,HUN
2016-07-31,900.0,285.6397,3.1508225222194,178.57142857143,-37.483680114694,-2.2582429639361,-3.8577326292859,12.576325141816,14.682299365602,6.9061830234,HUN
2016-01-31,900.0,292.67905,3.075040731477,182.55578093306,-37.625948651582,-4.7408851949969,3.0532741236667,3.0445082255142,27.296663243067,5.1894621983658,HUN
2015-07-31,900.0,282.8778,3.1815858296409,187.89144050104,-33.57858393234,-2.2928299293824,2.2216762332789,-3.5776653358516,34.248726593518,7.7477229863101,HUN
2015-01-31,860.0,271.39345,3.1688310826956,179.54070981211,-33.844862574204,-0.37984238001989,-1.7122730445285,-3.386991050259,33.160625498126,5.0416760433748,HUN
2014-07-31,860.0,228.30615,3.7668718078773,179.35349322211,-21.441672411319,18.478445312121,0.063514660358166,2.735355152842,48.945614013229,26.563945875983,HUN
2014-01-31,860.0,223.09705,3.8548246155653,185.97945575779,-16.637420459932,24.526718040417,6.8851376769504,13.03418179557,89.047261189272,23.045631788285,HUN
2013-07-31,860.0,228.462,3.7643021596589,188.73445501097,-17.389125976761,19.715259264039,8.4051267207718,24.018618924186,66.855633283597,27.990705020023,HUN
2013-01-31,830.0,217.46935,3.8166297917385,190.04460133088,-12.610856964034,26.262275169374,4.7285181364324,18.710410787282,53.462293457346,31.75701762696,HUN
2012-07-31,830.0,238.2151,3.4842459608984,191.79664933564,-19.485939667282,18.308126705855,6.5361590695556,10.251379850916,19.96032859819,25.741266771871,HUN
2012-01-31,645.0,245.69425,2.6252140617861,153.67314555825,-37.45350346691,-6.0333546737096,-19.927698073854,-8.038244013585,-9.3088266128347,-5.6979197499633,HUN
2011-07-31,760.0,188.0724,4.0409969777596,186.9618696187,-0.59048025191566,57.275937197238,15.382994632411,44.668786292381,49.092086139091,52.217919743096,HUN
2010-07-31,740.0,221.96915,3.3337966109254,198.21428571429,-10.701876493069,,,,,,HUN
2010-01-31,720.0,186.6508,3.8574707421559,201.11731843575,7.7505793898307,,,,,,HUN
2009-07-31,720.0,199.1577,3.6152255222871,201.68067226891,1.2668213525802,,,,,,HUN
2008-06-30,670.0,144.2578,4.6444628990599,187.67507002801,30.096999973666,,,,,,HUN
2007-06-30,600.0,180.2106,3.3294378910009,175.95307917889,-2.3625251905906,,,,,,HUN
2007-01-31,590.0,194.4237,3.0346094637639,183.2298136646,-5.757470069443,,,,,,HUN
2006-05-31,560.0,206.3444,2.7139093670582,180.64516129032,-12.45453654651,,,,,,HUN
2006-01-31,560.0,206.956,2.7058891745105,177.77777777778,-14.098756364745,,,,,,HUN
2005-06-30,530.0,203.643,2.6025937547571,173.20261437908,-14.947916511206,,,,,,HUN
2004-05-31,530.0,211.0,2.52,182.75862068966,-13.384539957509,,,,,,HUN
2003-04-30,490.0,224.0,2.14,180.81180811808,-19.280442804428,,,,,,HUN
2002-04-30,459.0,272.0,1.69,184.33734939759,-32.228915662651,,,,,,HUN
2001-04-30,399.0,303.0,1.32,157.08661417323,-48.156232946129,,,,,,HUN
2000-04-30,339.0,279.0,1.21,135.05976095618,-51.591483528253,,,,,,HUN
2017-07-31,19.8,6.7875,2.9171270718232,3.7358490566038,-44.959866569373,-9.5691358835112,-10.926133567398,5.0612714220332,22.837889646136,0.0,CHN
2017-01-31,19.6,6.9266,2.8296711229174,3.8735177865613,-44.077645792145,-6.4762373415965,-4.7137792205733,14.082246120128,16.799693828606,0.0,CHN
2016-07-31,18.6,6.678,2.785265049416,3.6904761904762,-44.73680457508,-8.5724003309801,-10.06856231162,5.3038486250838,7.2737760551227,0.0,CHN
